,q_text,answer,q_type
166,有去过城关镇的吗，哪里是什么样的气候,亚热带季风气候,6
167,谁知道王杰是哪年哪月出生的,1963年5月,5
168,古代那个陈平是什么时候死的呀,公元前178年,5
169,《要听爸爸的话！》是什么类型的丛书,jump comics sq. ching win boy comic,6
170,《光荣之路》是彩色的还是黑白的呢,彩色,1
171,呃我想请教一下黑叶猴的英文是怎样说的,fran?ois’s langur,1
172,城关镇下属的村有多少个,24,4
173,你们知道政府贴息贷款有什么作用吗,可以扩大援助规模,1
174,小米手机4屏幕是多大的,5英寸ips屏,4
175,刘军是那个党派的,共产党,6
176,有没有玩过怪物猎人的，这个游戏都可以在哪些平台上玩,家用机：ps2、wii、ps3、wii u 掌机：psp、3ds,6
177,城关镇有几个社区,3,4
178,城关镇包括多少个村,21,4
179,城关镇的经纬度是多少啊,24°04′03″n 108°39′49″e / 24.0676°n 108.66365°e坐标：24°04′03″n 108°39′49″e / 24.0676°n 108.66365°e,4
180,粉我吧公司的员工口号是什么,do it by yourself!,1
181,哈姆雷特是彩色的还是黑白的,黑白,1
182,有一首歌叫我爱你，这是什么语言的歌曲,国语,6
183,谁知道魅族有多少员工啊,2000余人（2010年）,4
184,我想问一下林肯县的官方网站是什么,www.co.lincoln.wy.us,1
185,新版神雕侠侣一共有多少集,40集,4
186,陈谦的字是什么,字八桂,2
187,植物大神们，海棠是属于哪个亚科的,苹果亚科,6
188,思诺思的学名叫什么啊,酒石酸唑吡坦片,6
189,万科金域蓝湾是商业建筑还是民用住宅啊,住宅,1
190,体育粉们，我想问一下李娜主要获得过哪些奖项,2011法网女单冠军 2014澳网女单冠军 wta单打冠军头衔：9,2
191,纳斯达克是什么时候创建的,1971,5
192,孙悟空在那部轩辕剑作品中出现过,《轩辕剑叁外传：天之痕》,6
193,天龙八部还有什么其他名字吗,新天龙八部,6
194,谁知道奥埃尔巴赫的邮编是什么啊,5222,4
195,呃……我想问一下孙悟空还有什么其他名字吗,卡卡罗特、格古洛,2
196,修正再购这个词是什么意思啊,生产者市场的用户为了更好地完成,1
197,杨俊来自于哪个国家,中国,3
198,斯普林菲尔德是哪个州的,马萨诸塞州,3
199,我想做鉴真素鸭这道菜，都需要什么辅料,素蚝油、糖、盐、葱花、香油,6
200,《毛泽东》这本书还叫什么,毛泽东革命者与建设者,1
201,辣条适合什么人吃,儿童,6
202,谁能给我介绍一下钻石画，真的是用钻石做的吗,树脂钻,1
203,天宁寺的编号是什么,第三批，编号不详,4
204,白雅湖岛是几星级的酒店呀,★★★,4
205,杨洋粉们，杨洋是什么血型的啊,o型,2
206,王宪是什么时候出生的啊,1921年9月,5
207,over the rainbow是属于什么风格的音乐,华语流行音乐,1
208,有谁知道鞭打快牛这个词语怎样用,作宾语、定语；指赏罚不公,1
209,我想问一下轩辕剑游戏发行商是哪家,大宇资讯,6
210,哺乳动物是属于什么亚门的,脊椎动物亚门vertebrata,6
211,李皇后是什么时候死的,1004年,5
212,山羊是哪个亚门的动物,脊椎动物亚门,6
213,岳阳市人民政府关于整治市中心城区沿湖砂石散货客运码头的通告是要干什么用的,提升城市品位,1
214,新房子村属于哪个区有没有知道的,半山区,3
215,城关镇的邮编是什么呀,558200,4
216,城关镇下面有几个村,15个村,4
217,电影《哈姆雷特》有多长时间,130分钟,5
218,各持己见是什么结构的词语,动宾式,1
219,有认识徐坚的吗，他是做什么的？,研究员，博士,2
220,梅花落作者是谁来着？,鲍照,2
221,我想问一下邪恶漫画是属于哪个系列的漫画？,卡列漫画,6
222,城关镇有什么特产吗？,瓜类、蔬菜,6
223,矿物油都能够用来做什么有人懂这方面吗？,润滑油，,1
224,天宁寺是什么朝代修建的？,明代,5
225,圆锥花序组属于什么族的？,石竹族trib. diantheae,6
226,大花组属于哪一个亚科啊？,石竹亚科 subfam. caryophylloideae,6
227,公元432年是什么意思？,是中国历史上的壬申年，在中国,5
228,有人会做河豚肉炒白菜吗，需要什么调料啊？,适量盐，适量干红椒,1
229,温泉镇使用什么方言？,官话,6
230,还有人记得ngc是什么时候上市的吗？,日本：2001年9月14日[1],5
231,河南村耕地面积有多大？,8750亩,4
232,模拟人生是什么时候发行的来着？,2000年2月4日（windows pc） 2000年7月25日（mac os） 2003年3月24日（xbox） 2003年7月9日（playstation 2）,5
233,生物大神们，深渊蛙学名叫什么啊？,十字蝌蚪,6
234,室内软装饰是什么语种的书,英语、简体中文,6
235,科姆潘是什么位置的球员？,:前锋,2
236,城关镇有哪些有名的产业？,铁矿、重晶石、石灰石、粘土矿等金属非金属矿类,1
237,我想问一下，有人知道罗红霉素分散片是什么类型的药吗？,工伤医保乙类双跨,6
238,车前薏米粥需要哪些配料,水,6
239,有一家叫彻思叔叔店全名叫什么啊？,彻思叔叔烘焙工坊,6
240,博略属于哪个省？,卡尔瓦多斯省,3
241,有没有人知道伦敦大学学院的校训呀？,cuncti adsint meritaeque expectent praemia palmae (让所有因其价值应得奖赏的人都来吧),1
242,征服网络评分是多少啊？,9,4
243,夜不成寐最初出处是哪里呀？,《夷坚志·乙志卷八·虔州城楼》,6
244,电视广播有限公司的生日是哪一天呀？,1967年11月19日 （47岁60天，香港九龙广播道）,5
245,谁知道李洋是什么星座的？,双鱼座,6
246,月光这首歌是谁编的曲？,洪信杰,2
247,求问城关镇的车牌代码？,贵j,4
248,博士来拜是什么年代的作品？,1461年,5
249,秦时明月是什么类型的游戏，玩过的请回答？,网页游戏,6
250,毁灭都市是啥时候上映的？,2013年8月,5
251,求问中山大学的现任校长是谁？,罗俊[2],2
252,麻烦你告诉我一下黄山途欢快捷酒店具体地址？,黄山风景区汤口镇逍遥水街8号楼,3
253,believe是哪个唱片公司发行的来着？,universal,6
254,你知道圣地亚哥英文名怎么拼吗？,saint jakob,1
255,我想问一下朱江的学历是？,本科,2
256,杭州圆正艮秋宾馆一共有多少个房间？,76间/套,4
257,热血兄弟可以选择语言？,英文，日语，韩语,6
258,周永康的个人资料有人知道吗，请告诉我一下？,1942年12月（72岁） 中华民国汪精卫政权江苏省无锡县 周元根,2
259,蝴蝶是哪里产的？,韩国,3
260,有一个楼盘叫万科金域蓝湾，有人知道具体位置在哪里吗？,长沙市芙蓉区营盘东路与浏阳河风光带交界处,3
261,工厂食堂是面向什么对象呀？,巴比,6
262,电视剧《红楼梦》的编剧还有人记得吗？,徐进,2
263,山羊属于什么亚目的？,反刍亚目,6
264,小红参还叫做什么啊？,三叶鼠尾草、紫丹参、小红丹参（云南丽江）、,6
265,我想请问一下影片灰姑娘是哪个公司发行的？,华特·迪士尼,6
266,薪酬管理这本书一共印刷了几版？,4,4
267,谁知道李明啊，他的职称是什么？,管理学博士，教授,2
268,银行垫款的本质是什么？,被迫以自有资金代为支付的行为,1
269,高田ic在哪里？,〒929-2111 石川县七尾市高田町 37°3′23.69″n 136°53′45.99″e / 37.0565806°n 136.8961083°e,3
270,七大杀人武器都有什么内容？,要听话”用来杀自由,1
271,韩熙载夜宴图的尺寸是多大的？,宽28.7厘米，长335.5厘米,4
272,西北大学是什么类型的大学？,综合性全国重点大学,6
273,城关镇政府在哪个地区？,咀台村,3
274,移动金融领先银行的作用是啥？,银行卡完整地空中植入手机sim卡,1
275,我想知道杨洋签了哪家经纪公司？,天娱传媒,6
276,傀儡师最初是从哪出来的？,话剧表演,6
277,中国棒球联赛的主办单位是什么？,国家体育总局手曲棒垒运管中心,6
278,我想问一下书剑恩仇录的制片是谁？,王鹏举、尹廉和、区志仁,2
279,你们知道李明的出生年月吗？,1946年11月,5
280,我们这首歌一共持续多长时间？,4:02,5
281,橡树湾的绿化率大概有多少？,30%,4
282,有个问题想请教一下，大花组属于哪个族啊？,蝇子草族 trib. sileneae,6
283,赤壁出自于哪里？,《列朝诗集》,6
284,鲁迅的朝花夕拾全书共多少字？,100千字,4
285,藤制家具有什么优势吗？,藤制家具透气性强、手感清爽,1
286,请问财富广场属于哪个地区？,即墨市,3
287,学化学的来，泼尼松龙的分子量是？,360.44,4
288,迈克尔·杰克逊是什么时候去世的？,2009年6月25日（50岁） 美国加利福尼亚州洛杉矶市荷尔贝山,5
289,有没有人知道丽纳尔斯咖啡馆啥时候营业？,09:00-00:00,5
290,金恒生eb8300的内存是多大的？,128mb,4
291,ultraviolet by paul pairet的人均价多少？,5000,4
292,学生物的来，极乐吻鰕虎属于哪个亚目？,鰕虎亚目 gobioidei,6
293,三圣寺原名叫什么呀?,三义庙,1
294,李派的创始人叫啥来着？,李少春,2
295,莡这个字的笔画有多少？,7划,4
296,请问kindle有多重？,190g,4
297,请问中山路有什么样的地位？,屏东县枋寮乡的南北向主要道路,1
298,城关镇下辖多少个社区居委会和村委会,辖9个社区居委会，9个村委会,4
299,定语一般是什么词？,名词,6
300,宕怪星是啥时候被人们发现的？,"may 24, 1873",5
301,寒神星是什么时候被观测到的？,1862年11月12,5
302,文庙还被称为什么？,岳州学宫,1
303,双江镇在哪个国家啊？,中国,3
304,有人认识刘平吗，他是那个民族的？,汉族,6
305,极速冲浪在哪个游戏网站可以找到？,806k,6
306,昆腾scalar i80(lsc18-ch4g-132h)的存储容量有多少？,40000gb,4
307,地球的离心率是多少？,0.016710219,4
308,我想知道浸酸皮是什么样的？,浸酸后的裸皮白净,1
309,有没有人知道地球的轨道倾角是多少呢？,0（7.25°至太阳赤道）,4
310,苍蝇的蝇是啥偏旁部首？,虫部外笔画,1
311,莲子杏仁银耳粥的主要食材有啥？,银耳,6
312,白驹过隙应该怎样用，举个例子说明一下？,《罗贯中·三国演义·第一零七回》：“维曰：‘人生如白驹过隙，似此迁延岁月，何日恢复中原乎？’”,1
313,海妖星的升交点黄经是多少呀？,125.637°,3
314,大家知道海妖星的近日点在哪吗？,195.436°,3
315,戏调一词出自于哪个文学作品里？,《宋书·沉怀文传》,6
316,羧甲基纤维素钠的分子式是啥呀，有人知道吗？,c8h16nao8,1
317,孙悟空年龄有多大？,12-46岁,4
318,城隍庙啥时候建立的呀？,公元1064年,5
319,路透社是一家什么样的公司？,上市公司,6
320,有人知道warkey软件有多大吗？,927kb,4
321,城东社区是啥时候成立的？,2006年8月,5
322,有人知道李家村吗，那里年平均气温是多少？,13.5 ℃,4
323,山西大学一共有多少学生？,6000,4
324,白云山地区是什么型的气候？,中亚热带海洋性季风气候,6
325,万达广场是什么时候开业的呢？,2014年12月6日,5
326,国家级成都高新技术产业开发区又被成为什么？,成都高新区（南区、西区）,3
327,燕麦片含有什么成分？,beta葡聚糖，低密度脂肪蛋白，丰富的维生素，钙、磷、铁、锌、锰等矿物质,6
328,茶花女在哪里拍摄的？,波兰,3
329,上海市亭林中学有多少老师呀？,91人（2014）,4
330,请问ipad是什么操作系统的？,ios,6
331,有人知道克里斯蒂安·塔纳塞惯用脚是左脚还是右脚吗？,右脚,2
332,nachi 7320c/db 轴承内径尺寸是多少？,100.0000mm,4
333,我想知道matahariku的发行时间是什么时候？,2009,5
334,阿尔贝托·吉拉迪诺的球衣是几号？,11,4
335,阿尔忒弥斯属于什么族？,奥林匹斯神族,6
336,宕怪星在小行星分类中是什么类？,main belt,6
337,博士来拜是什么尺寸的？,246 x 243 厘米,4
338,行政自由裁量论的条码是什么，有人知道吗？,9.79E+12,4
339,民主党前身是什么？,1792年建立的民主共和党,6
340,我想知道南山站属于哪个公司？,朝鲜总督府铁道局,6
341,孙悦的血型是a还是b？,b型,2
342,大庄严论经是什么年代的作品？,晋朝,5
343,人民公园占地面积有多少？,50000平方米,4
344,使命召唤：现代战争3多少人可以玩呢？,单人多人都可以,1
345,请问城关镇的面积有多大？,7 5．1平方公里,4
346,天枢的赤经是多少？,11h 03m 43.70s,3
347,谁能告诉我奥帝泊有什么组成？,object；,6
348,会说话泰迪熊版本号是什么？,1.0.0.0,1
349,学汉语言的，我想请问一下隶变有什么重要意义呢？,汉字发展史上的一个里程碑,1
350,北京大学艺术学系的办学宗旨什么呢？,美育列为国民教育,1
351,有没有人知道360极速浏览器都有什么语言的版本？,简体中文，英语,6
352,facebook是一个什么样的网站？,社交网站,1
353,时尚造型屋这个游戏目标是什么？,经营时尚造型屋,1
354,巨蟹座的赤纬是什么？,20,4
355,城关镇有火车站吗，是什么站？,独山站,3
356,广东朝野科技有限公司获得过什么荣誉称号？,aaa级中国质量信用企业,1
357,华纳我爱经典系列收录了哪些歌手的歌？,杜丽莎,2
358,使命召唤：现代战争3游戏的画面怎么样？,好,1
359,长乐公主是什么朝代的人？,西魏,5
360,橡树湾小区的物业管理是包给了哪家公司？,华润置地（福州）物业服务有限公司,6
361,三星rv411-s0d用的cpu是什么型号的？,intel 酷睿i5 480m,6
362,三合乡属于哪个市？,黑龙江省林甸县,3
363,有人知道伦贝格有多少人吗？,"3,901",4
364,长沙站是哪年建成的？,老站1912年；新站1977年,5
365,我想请问一下天宁寺在哪个地区？,市内,3
366,南京工业大学浦江学院的邮编是多少呢？,211816,4
367,管理学这本书是哪个出版社出版的？,经济管理出版社,6
368,失乐园的出版时间是什么时候？,6-Oct,5
369,东湖是什么时候开放？,08:00-17:00,5
370,橡树湾的容积率大概有多少？,1.7,4
371,请问一下美团网的年营业额有多少？,160亿元（2013年）[3],4
372,首尔大学有哪些院系？,人文类、工学类、艺术类等,6
373,请问孙悟空的配音都有谁呀？,野泽雅子（日本） 王晓燕、刘艺（中国大陆） 卢素娟、林国雄、谢洁贞（中国香港） 贺世芳、赵明哲、于正升、于正昌、张文仪、李景唐（中国台湾）,2
374,晋青椒4号的审定编号是多少呢？,晋审菜（认）2011008,4
375,玄武是什么身份呢？,天秤座黄金圣斗士,2
376,有人知道卧龙山在哪里吗？,中国 四川绵阳市梓潼县卧龙镇境内,3
377,天龙八部每集有多少分钟？,45分钟,4
378,天宁寺是什么时候建成的？,1993年7月15日,5
379,《霍元甲》由哪个公司制作的？,天津津源影视有限公司，华夏视听环球传媒有限公司，东阳环宇影视文化传媒有限公司，,6
380,索尼kdl-32w650a的定位是什么？,全高清电视,1
381,慈云寺是什么时候修建的呀？,唐代,5
382,请问比亚迪的总部在哪里呢？,深圳市坪山区比亚迪路3009号,3
383,能给我简要介绍一下《神雕侠侣》吗？,由张纪中导演，刘亦菲、黄晓明主演的新版神雕侠侣，于2006年央视首播。,1
384,橡树湾在那个城区？,仓山,3
385,巴夏诺隶属于什么省？,拉蒂纳省,3
386,麻烦你给我介绍一下《红楼梦》好吗？,中国社会科学院文学研究所专家介绍，《红楼梦《石头记》流传，不幸的是八十回后竟“迷失无稿”。程伟元经“竭 力搜罗”补成全书，名为《绣像红楼梦》，于乾隆五十六年（1791年）由萃文书屋活字排印出版。》最初以抄本,1
387,韭葱马铃薯奶油汤需要什么食材？,橄榄油1匙,6
388,american eagle是什么产品的牌子？,男女士服装等,6
389,《犯罪学》全书一共多少个字？,471000,4
390,微波五彩茄子需要什么食材？,紫色长茄2个，香菜2棵，,6
391,机动战士敢达 seed astray的名称是什么？,机动战士敢达 seed astray,2
392,你知道辣条有什么副作用吗？,高血压、腹泻,1
393,制霉素片的用途有哪些分类？,抗生素类,6
394,曲可伸是否为处方药？,处方药,1
395,w酒店属于哪种酒店类型？,酒店[1],6
396,李尔王属于什么级别？,finland:s,2
397,intel 酷睿i7-3770cpu主频是多少？,3.4ghz最大睿频3.9ghz,1
398,古巨基的配偶叫什么？,陈英雪,2
399,西方法律哲学家研究年刊2008是哪种平装？,535页正文语种,1
400,ctx-生物导融技术有什么功效？,提高机体免疫标本兼治,1
401,你知道tcp/ip详解卷1：协议（英文版·第2版）的原名是什么吗？,"tcp/ip illustrated, volume 1 the protocols, second edition",1
402,巴斯克维尔的猎犬属于什么类型？,犯罪，恐怖，悬疑,6
403,你知道萨博的生日是什么时候吗？,1987/2/26,5
404,2001年特拉万卡有多少人？,248,4
405,《华山论剑》在哪个平台上？,pc pc pc,6
406,柱七的光谱分类是什么？,b5iab,6
407,柱七的视星等（v）是什么？,4.744,6
408,金黄甘薯脯是利用什么工艺做的？,煮,6
409,沙漠旋转工地有多难？,4星级,1
410,温泉镇有个什么机场？,威海国际机场,3
411,红的制作人是谁？,和平之月,2
412,黔城人才网网站的名称是什么？,黔城人才网,1
413,tr的全称是什么？,terres reres,1
414,卢卡斯有什么专业特点？,前锋，助理教练,2
415,月季花二名法是什么？,rosa chinensis jacquem.,1
416,你知道和平路多长吗？,约1.6公里,4
417,你知道堇青石是什么颜色的吗？,浅至深的蓝，紫，无色、黄的白,1
418,博略是什么区？,vire,3
419,华硕eahg4670酷翼版的芯片厂商是哪里？,atin,6
420,王军出生在哪里？,中国天津,3
421,奥康集团有限公司在哪里成立的？,浙江,3
422,你知道武定宇的职务是什么吗？,北京联合大学艺术设计系讲师,2
423,西游记是什么时候首播的？,2010年1月3日,5
424,九龙珀丽酒店周围有哪些景观？,香港理工大学、维多利亚港,3
425,柱七的b?v 色指数是多少？,0.34,4
426,莫亚自治区是哪里？,加那利群岛,3
427,htc是什么样的组织形式呢？,股份制,6
428,mx视频播放器的分辨率是多少？,320x480 480x800 480x854,4
429,柱七的u?b 色指数是多少？,-0.46,4
430,新桥镇有什么特色？,最具活力的经济区域—上海,1
431,你知道业个怎么读吗？,yē ge,1
432,大熊座47c多长时间一个周期？,6地球年,5
433,茶花女的imdb编码是多少？,tt0109527,4
434,你知道卡贝的主要作品有哪些吗？,《世界语原文小词典》,6
435,龙泉镇建立的时间是什么时候？,公元700年,5
436,黑色食品的主要食用功效有哪些？,清除自由基，延缓衰老，改善营养性贫血,1
437,是谁监制了射雕英雄传呢？,王天林,2
438,小米手机3是什么时候发布的？,2013/9/5,5
439,海王星距太阳最近有多远？,"4,452,940,833km",4
440,fantasy的专辑语言是哪种？,日语,6
441,海王星距太阳最远有多远？,"4,553,946,490km",4
442,2008年诺基亚有多少员工？,"128,445（2008年底）",4
443,五诸侯一的 r?i 色指数是什么？,[1][2],4
444,微星k8t neo2-f主芯片组是什么样的？,via k8t800pro,1
445,你知道地球半长轴的长度吗？,"149,597,887.5km",4
446,博略的大区是什么？,下诺曼底,3
